vin,stock_num,first_seen,last_seen,ask_price,msrp,mileage,is_new,is_sold,color,interior_color,brand_name,model_name,dealer_id,model_year,body_class,fuel_type_primary,transmission_style,transmission_speeds,drive_type,engine_cylinders,engine_hp,displacement_l,doors,trim,turbo,electrification_level,district,city,country,state
625ea0702e1ab500868faa908bf37e6ee393a760208f9042a21575df42c635da,20158,2020-02-14,2020-02-14,53260,58800,0,True,False,Magnetic,Ebony,FORD,Expedition,7514,2020.0,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),Flexible Fuel Vehicle (FFV),,,4WD,6.0,310.0,3.5,4.0,,,,,Clermont,United States,America/New_York
cb7927c4bc2c7944fdfe4e3b04f0e23b2418d5c072ffd98da5ddf1dfb63e9bff,ST,2018-06-05,2018-06-05,0,0,166810,False,False,Bright Silver Metallic,Med Slate Gray,DODGE,Dakota,7656,2006.0,Pickup,Gasoline,,,4x2,6.0,,3.7,,ST,,,,Gilbert,United States,America/Phoenix
d66d2202cf858a303e6898f66f0157534f9611b2a350900127935737664b74ae,SLE,2018-07-14,2018-07-14,0,0,164094,False,False,Cherry Red Metallic,Dark Pewter,GMC,Canyon,7656,2005.0,Pickup,Gasoline,,,,5.0,,3.5,4.0,,,,,Searcy,United States,America/Chicago
19033fa7964b3a157086c8d50e82a7b642897034ed9e06890bcbc0ddc1164283,,2018-07-31,2018-07-31,0,0,0,False,False,,,FORD,F-150,7656,2011.0,Pickup,Gasoline,,,4WD,8.0,360.0,5.0,,,,,,Jersey City,United States,America/New_York
b2ecbc47c24617c70bd4a3931cd92dbfaaa193d3bc4615fc38b255273f424cee,,2018-07-31,2018-07-31,0,0,0,False,False,,,CHEVROLET,Trailblazer,7656,2005.0,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),Gasoline,,,4x2,6.0,,4.2,4.0,1/2 Ton,,,,Aloha,United States,America/Los_Angeles
936bef04c2798b79dbcedd19736da00b4ea5da1433d5576df6ec36d28b436cd7,,2018-08-09,2018-08-09,12962,12962,0,False,False,,,TOYOTA,Tundra,7656,2005.0,Pickup,Gasoline,,,4WD,8.0,271.0,4.7,,SR5,,,,Copperas Cove,United States,America/Chicago
bc142c2ab3c159c660e0297d805772fdeb847986f60671c48ce80caf2a120bab,Touring L Plus,2018-09-04,2018-09-04,0,0,0,True,False,Velvet Red Pearlcoat,Black/Alloy,CHRYSLER,Pacifica,7656,2018.0,Minivan,Gasoline,Automatic,9.0,FWD,6.0,,3.6,4.0,RU,No,,,Bridgeport,United States,America/New_York
7e64447e1731391b415939f7018ef6caa58a292416276792287ee550b1534e7f,,2018-09-23,2018-09-23,0,0,0,False,False,,,FORD,Taurus,7656,2007.0,Sedan/Saloon,Gasoline,,,,6.0,155.0,3.0,4.0,,,,,Bryn Mawr-Skyway,United States,America/Los_Angeles
e22226cedb3885f7a22069d6dce8ba38badf9343eb552078e6d4d7ecb49e9d23,,2018-10-12,2018-10-12,0,0,0,False,False,,,CHEVROLET,Impala,7656,2006.0,Sedan/Saloon,Flexible Fuel Vehicle (FFV),,,,6.0,,3.5,4.0,,,,,Santa Maria,United States,America/Los_Angeles
2ba8cb7ae356fd5ff185be940025567761f9cd6f821c0e24e34d7fbe4ff009ba,,2018-10-12,2018-10-12,0,0,0,False,False,,,CHEVROLET,Trailblazer,7656,2004.0,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),Gasoline,,,4WD,6.0,,4.2,4.0,1/2 Ton,,,,Jackson,United States,America/Chicago
